SMP real_boot_time times_called ns_per_call predict_sec scale_factor test_total_clocksource_ns real_total_clocksource_ns percentage real_ns_per_call diff_ns_per_call
1 42.56111 220741447 7.36923 14.73846 0.67850 7242001397 3988611840 0.09371 18.06916 10.69993
2 84.93758 435805703 7.00000 28.00001 0.35714 13941007424 7839725651 0.09230 17.98904 10.98904
3 116.24973 570758574 7.30770 43.84619 0.22807 18019017650 9677155352 0.08324 16.95490 9.64720
4 153.60945 766103549 7.29232 58.33853 0.17141 23957035319 12783695993 0.08322 16.68664 9.39433
5 182.74177 967300074 7.33847 73.38474 0.13627 29720057439 15523044314 0.08495 16.04781 8.70933
6 220.97198 1168096278 7.40002 88.80019 0.11261 35649082530 18361220668 0.08309 15.71893 8.31891
7 256.62016 1366331220 7.36925 103.16949 0.09693 40613106169 20475436048 0.07979 14.98570 7.61646
8 306.20185 1554113766 7.33848 117.41571 0.08517 46304130579 23494460075 0.07673 15.11759 7.77911
9 334.49718 1773481046 7.26156 130.70807 0.07651 53278066837 27521590371 0.08228 15.51840 8.25684
10 392.69414 1964174666 7.30769 146.15384 0.06842 59945043175 31237877034 0.07955 15.90382 8.59613
11 412.81629 2185410459 7.21539 158.73868 0.06300 66263117530 34725919813 0.08412 15.88988 8.67449
12 453.40108 2399165831 7.47694 179.44653 0.05573 71274161502 35397329988 0.07807 14.75402 7.27708
13 500.43493 2606464732 7.27694 189.20046 0.05285 78562195897 40628017595 0.08119 15.58740 8.31046
14 551.95351 2793755573 7.30771 204.61591 0.04887 83529062573 42697145737 0.07736 15.28306 7.97535
15 595.02038 3007652479 7.33847 220.15405 0.04542 88819127679 44676003346 0.07508 14.85411 7.51564
16 609.89482 3251802569 7.26155 232.36966 0.04303 95977192748 48750927052 0.07993 14.99197 7.73042
17 675.61027 3436331800 7.32309 248.98515 0.04016 101310170823 50981019400 0.07546 14.83588 7.51279
18 722.09439 3655319098 7.27693 261.96952 0.03817 105883158695 52684147740 0.07296 14.41301 7.13608
19 765.84249 3878141982 7.60001 288.80051 0.03463 114563214201 55615351663 0.07262 14.34072 6.74071
20 811.55030 4096359196 7.26155 290.46210 0.03443 120136338296 60644483386 0.07473 14.80448 7.54293
21 864.23808 4320260313 7.29233 306.27781 0.03265 127905328134 64895809796 0.07509 15.02127 7.72894
22 900.66090 4547027897 7.27694 320.18537 0.03123 135539268540 69362368911 0.07701 15.25444 7.97750
23 947.75542 4769876078 7.33847 337.56965 0.02962 139285231977 69278041396 0.07310 14.52408 7.18561
24 988.68462 4999112904 7.30771 350.76991 0.02851 146366302183 73302203457 0.07414 14.66304 7.35534
25 1032.71636 5233187696 7.36925 368.46249 0.02714 151234352976 74105018051 0.07176 14.16059 6.79134
26 1074.41501 5469281864 7.29232 379.20083 0.02637 167784361507 88016814410 0.08192 16.09294 8.80061
27 1126.95779 5698282027 7.13848 385.47774 0.02594 159936340309 78582233086 0.06973 13.79051 6.65204
28 1171.01519 5941259139 7.43079 416.12396 0.02403 172115447748 83819008617 0.07158 14.10795 6.67717
29 1215.73448 6174538769 7.27695 422.06284 0.02369 178651472371 88787907677 0.07303 14.37968 7.10274
30 1265.09923 6420869862 7.21540 432.92412 0.02310 186883372663 94225057780 0.07448 14.67481 7.45941
31 1319.07254 6658364597 7.44617 461.66249 0.02166 194105418754 94946801009 0.07198 14.25978 6.81361
32 1363.68938 6910608886 7.30771 467.69333 0.02138 210897465510 109896038000 0.08059 15.90251 8.59480
