SMP	real_boot_time	times_called	ns_per_call	predict_sec	scale_factor	test_total_clocksource_ns	real_total_clocksource_ns	percentage	real_ns_per_call	diff_ns_per_call
1	15.00128	220521354	3.38461	6.76922	1.47727	3569995991	2077237902	0.13847	9.41967	6.03506
2	31.04050	435374197	3.69230	14.76921	0.67708	7049992798	3834925274	0.12355	8.80834	5.11604
3	40.92696	574397697	3.69230	22.15383	0.45139	9209997662	4968295144	0.12139	8.64957	4.95727
4	63.97219	891864176	3.69230	29.53842	0.33854	14399990372	7813924662	0.12215	8.76134	5.06904
5	79.20487	1119398026	3.69231	36.92305	0.27083	17709987939	9443669256	0.11923	8.43638	4.74408
6	95.80436	1347863857	4.15384	49.84612	0.20062	21069985407	9872355132	0.10305	7.32445	3.17060
7	96.72285	1347895527	3.84615	53.84612	0.18571	20919985665	10551565751	0.10909	7.82818	3.98203
8	111.63720	1559828515	3.53846	56.61535	0.17663	23849983518	12811204495	0.11476	8.21321	4.67475
9	143.80466	2043785839	3.69231	66.46149	0.15046	31679978179	16587416268	0.11535	8.11602	4.42372
10	138.58284	1977247593	3.53846	70.76918	0.14130	30669979872	16677160304	0.12034	8.43453	4.89607
11	173.80208	2476225426	3.69231	81.23072	0.12311	38289973626	20004013288	0.11510	8.07843	4.38612
12	167.50146	2366849361	3.53846	84.92302	0.11775	37409979642	20659979849	0.12334	8.72890	5.19044
13	199.06104	2568197691	3.69231	95.99995	0.10417	39009981290	20044838119	0.10070	7.80502	4.11272
14	198.47602	2775752459	3.84615	107.69226	0.09286	44109979039	22758047466	0.11466	8.19888	4.35272
15	212.64068	2976416362	3.84615	115.38456	0.08667	47419977147	24524477843	0.11533	8.23960	4.39345
16	226.35484	3190637485	3.53846	113.23072	0.08832	49779975799	27200090550	0.12017	8.52497	4.98651
17	239.91512	3454325595	3.84615	130.76916	0.07647	53219978586	26648256951	0.11107	7.71446	3.86831
18	255.43429	3679274514	3.84615	138.46148	0.07222	56439974520	28137873968	0.11016	7.64767	3.80152
19	273.47002	3865629267	3.84615	146.15369	0.06842	60439980916	30704402214	0.11228	7.94292	4.09677
20	288.90137	4085682770	3.69231	147.69225	0.06771	63209975889	33038791489	0.11436	8.08648	4.39417
21	301.59411	4289387806	3.69231	155.07686	0.06448	67349980333	35674513161	0.11829	8.31692	4.62462
22	321.49697	4529883010	3.38461	148.92304	0.06715	70079980712	39416165623	0.12260	8.70137	5.31675
23	335.66021	4757162458	3.84615	176.92303	0.05652	73479978990	36886430989	0.10989	7.75387	3.90772
24	352.50269	4976024934	3.38461	162.46149	0.06155	76879983154	43196131708	0.12254	8.68085	5.29624
25	369.81191	5216315162	3.84615	192.30766	0.05200	81239985887	41114492184	0.11118	7.88190	4.03575
26	385.85049	5441441340	3.53846	183.99996	0.05435	84509984842	46001330418	0.11922	8.45389	4.91543
27	403.11912	5679218505	3.53846	191.07689	0.05233	89449992821	49258607663	0.12219	8.67348	5.13502
28	415.19771	5920767767	3.53846	198.15383	0.05047	89549992476	47649177712	0.11476	8.04780	4.50934
29	434.58367	6149238135	3.53846	205.23075	0.04873	95229992659	51712310991	0.11899	8.40955	4.87109
30	447.87097	6385699235	3.69231	221.53845	0.04514	97799992794	50644062536	0.11308	7.93086	4.23855
31	463.38549	6623537695	3.69231	228.92305	0.04368	99919991482	51007719641	0.11008	7.70098	4.00867
32	483.20665	6878988540	4.00000	255.99998	0.03906	106259991484	51228087609	0.10602	7.44704	3.44704
