 SMP real_boot_time times_call_semu_timer_clocksource ns_per_call predict_sec scale_factor percentage real_ns_per_call 
 1 3.72878 224031765 3.38898 6.77797 1.47537 40.27 6.70253 
 2 9.14001 388366790 3.10085 12.40339 0.80623 43.59 10.25868 
 3 14.60581 588856632 3.10689 18.64133 0.53644 40.95 10.15711 
 4 20.17179 796146899 3.23058 25.84466 0.38693 41.03 10.39568 
 5 25.39590 998947794 3.26688 32.66881 0.30610 39.58 10.06228 
 6 30.41269 1204987416 3.10815 37.29778 0.26811 39.80 10.04513 
 7 35.23767 1412289055 2.95339 41.34749 0.24185 40.42 10.08509 
 8 39.97513 1613653412 3.10895 49.74328 0.20103 42.32 10.48396 
 9 45.06340 1820249867 3.20158 57.62843 0.17353 41.48 10.26908 
 10 49.41145 2098474932 2.63768 52.75354 0.18956 41.93 9.87299 
 11 56.15409 2249925026 3.04970 67.09339 0.14905 41.76 10.42255 
 12 61.79593 2462814283 3.21645 77.19481 0.12954 41.40 10.38792 
 13 65.94338 2676653609 3.10898 80.83359 0.12371 40.58 9.99749 
 14 69.98677 2963735362 2.99269 83.79519 0.11934 42.41 10.01486 
 15 75.67061 3193307673 2.90478 87.14347 0.11475 41.84 9.91467 
 16 82.77810 3326683736 3.25704 104.22541 0.09595 40.16 9.99304 
 17 88.65879 3558194103 3.05642 103.91832 0.09623 41.75 10.40276 
 18 93.68563 3788393448 3.11733 112.22378 0.08911 40.63 10.04766 
 19 100.34681 4027174525 2.95356 112.23511 0.08910 39.86 9.93208 
 20 104.78628 4237204225 3.16495 126.59816 0.07899 40.28 9.96126 
 21 107.62940 4449232910 3.39558 142.61457 0.07012 39.70 9.60365 
 22 113.57677 4695427165 3.10833 136.76641 0.07312 40.79 9.86661 
 23 118.81561 4901440245 3.68288 169.41225 0.05903 39.61 9.60184 
 24 125.30694 5172180539 3.11570 149.55369 0.06687 39.83 9.64965 
 25 130.75807 5412323873 2.95543 147.77138 0.06767 39.80 9.61541 
 26 136.29184 5652893114 3.00112 156.05823 0.06408 40.35 9.72843 
 27 142.53039 5896618365 3.06948 165.75168 0.06033 40.99 9.90792 
 28 147.76638 6120401410 3.26300 182.72805 0.05473 39.93 9.64040 
 29 152.19725 6385086990 3.07894 178.57843 0.05600 40.06 9.54885 
 30 157.77088 6608781185 3.31752 199.05111 0.05024 39.82 9.50620 
 31 165.11191 6882809079 3.13428 194.32523 0.05146 40.25 9.65558 
 32 171.41189 7104887736 3.19960 204.77453 0.04883 39.73 9.58522 
