SMP real_boot_time times_called ns_per_call predict_sec scale_factor test_total_clocksource_ns real_total_clocksource_ns percentage real_ns_per_call diff_ns_per_call
1 11.64432 220478621 5.24604 10.49208 0.95310 4882892330 2569613997 0.22068 11.65471 6.40867
2 27.71036 435423780 5.84603 23.38410 0.42764 11285755153 6194757970 0.22355 14.22696 8.38094
3 40.34772 666417742 5.78449 34.70695 0.28813 16748646290 9038870998 0.22402 13.56337 7.77888
4 51.24993 891687880 5.93834 47.50671 0.21050 23064529614 12474241241 0.24340 13.98947 8.05113
5 66.33361 1118902341 5.93834 59.38343 0.16840 27421463649 14132612293 0.21305 12.63078 6.69244
6 81.33308 1347196800 5.36913 64.42954 0.15521 33776370533 19309826081 0.23742 14.33334 8.96421
7 90.78632 1577523412 5.66144 79.26010 0.12617 41219269794 23357175239 0.25728 14.80623 9.14479
8 98.98436 1809581106 5.41529 86.64466 0.11541 41888293655 22289476711 0.22518 12.31748 6.90219
9 125.99162 2043236723 6.35374 114.36735 0.08744 53022149721 27057753453 0.21476 13.24259 6.88885
10 137.64929 2281881248 5.32299 106.45987 0.09393 57880225275 33587346085 0.24401 14.71915 9.39615
11 137.35851 2520428014 5.32333 117.11333 0.08539 57964423059 31130265956 0.22664 12.35118 7.02785
12 168.79766 2757992661 6.30792 151.39001 0.06605 71325122373 36530744279 0.21642 13.24541 6.93749
13 161.92204 2573121214 5.95399 154.80375 0.06460 65044315398 34403636911 0.21247 13.37039 7.41640
14 176.24777 3186318223 6.04625 169.29507 0.05907 74871980644 36341411454 0.20620 11.40546 5.35920
15 208.98035 3430044565 6.49237 194.77120 0.05134 87540652906 43002393772 0.20577 12.53698 6.04460
16 224.43418 3670396940 6.16926 197.41638 0.05065 94297300420 49010020477 0.21837 13.35278 7.18352
17 198.82379 3427571335 5.40001 183.60027 0.05447 80052034399 43034208929 0.21644 12.55531 7.15530
18 233.04606 3628365913 6.26153 225.41525 0.04436 92301869299 46863590994 0.20109 12.91589 6.65436
19 219.69175 3853616817 5.44614 206.95339 0.04832 88444762060 46470074092 0.21152 12.05882 6.61268
20 242.84947 4068975924 6.29229 251.69151 0.03973 98522653755 47316318625 0.19484 11.62856 5.33627
21 253.39142 4307446665 6.43055 270.08289 0.03703 103055278577 47656818818 0.18808 11.06382 4.63328
22 260.39601 4575343080 5.76910 253.84056 0.03939 109657911355 56866653620 0.21839 12.42894 6.65983
23 284.14722 4755725546 5.66145 260.42650 0.03840 113016363033 59167798928 0.20823 12.44138 6.77994
24 285.37577 4970774478 6.32300 303.50382 0.03295 115749650245 52889272903 0.18533 10.64005 4.31705
25 313.59807 5212791450 5.84609 292.30458 0.03421 138135620475 77186708821 0.24613 14.80717 8.96108
26 314.40366 5425795424 5.49226 285.59732 0.03501 126315860933 66716144653 0.21220 12.29610 6.80385
27 336.07245 5663371869 5.49226 296.58204 0.03372 135089854231 72880433191 0.21686 12.86874 7.37648
28 341.79370 5899611363 5.56918 311.87434 0.03206 136651624993 70939575858 0.20755 12.02445 6.45526
29 357.57572 6152301439 5.53887 321.25442 0.03113 143453259112 75299672456 0.21058 12.23927 6.70040
30 408.85091 6394560936 6.46182 387.70921 0.02579 165146737062 82505730419 0.20180 12.90249 6.44067
31 418.84706 6634690745 6.09247 377.73338 0.02647 168944921219 88101561332 0.21034 13.27893 7.18645
32 397.36960 6871438976 6.10781 390.90005 0.02558 159161878688 75222945847 0.18930 10.94719 4.83938
