SMP	real_boot_time	times	ns_per_call	predict_sec	scale_factor
1	43.63820	220128512	4.46425	8.92851	1.12001
2	74.76726	381872172	5.07342	20.29369	0.49276
3	107.61410	570025785	4.94950	29.69703	0.33673
4	141.18186	759860823	4.94270	39.54157	0.25290
5	182.44282	965204413	4.98592	49.85916	0.20056
6	215.72376	1164180899	4.98961	59.87531	0.16701
7	252.99628	1351707175	5.01034	70.14483	0.14256
8	289.22778	1564706158	4.92018	78.72291	0.12703
9	323.35800	1766370018	4.96241	89.32343	0.11195
10	358.01161	1964309273	5.01674	100.33490	0.09967
11	399.39151	2180837647	4.99869	109.97110	0.09093
12	447.65487	2372374870	4.99003	119.76082	0.08350
13	480.89945	2582188844	5.01049	130.27275	0.07676
14	514.47893	2792515535	4.96254	138.95099	0.07197
15	559.80404	3001426444	4.88708	146.61246	0.06821
16	603.61698	3214772171	4.93174	157.81567	0.06337
17	642.97359	3431906057	4.95752	168.55570	0.05933
18	684.54103	3651918664	5.00472	180.17010	0.05550
19	729.75128	3872234108	4.97320	188.98158	0.05292
20	2378.63384	4092525875	4.97203	198.88136	0.05028
21	780.76979	4314804459	5.00942	210.39571	0.04753
22	808.63718	4537829901	5.00935	220.41151	0.04537
23	844.11020	4766785735	4.87502	224.25077	0.04459
24	890.39829	4993707062	4.87198	233.85523	0.04276
25	944.12254	5223093934	4.86022	243.01096	0.04115
26	996.19973	5476418234	4.85171	252.28877	0.03964
27	988.05498	5688320023	4.86272	262.58708	0.03808
28	1052.89562	5926729090	4.86455	272.41469	0.03671
29	1105.78015	6165386917	4.87469	282.73208	0.03537
30	1150.12460	6411448651	4.85722	291.43339	0.03431
31	1189.81995	6651193542	4.86392	301.56287	0.03316
32	1242.38481	6896621506	4.88996	312.95717	0.03195
